GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
Jamaica Estates-Holliswood,26757.0,5386.0,4693.0,41.9,3539.0,23218.0,6333.0,6668.0,8732.0,1485.0,3293.0,2974.0,2123.0,851.0,9030.0,0
Kew Gardens,23719.0,4988.0,3275.0,38.3,5829.0,17890.0,10983.0,1546.0,4520.0,841.0,3887.0,3387.0,2129.0,612.0,7317.0,0
Kew Gardens Hills,38404.0,8949.0,5284.0,35.9,5053.0,33351.0,20078.0,2720.0,9133.0,1420.0,5216.0,4051.0,3352.0,580.0,11932.0,1
Laurelton,26924.0,5568.0,4429.0,40.6,1790.0,25134.0,311.0,23802.0,228.0,793.0,2394.0,2581.0,2605.0,554.0,11230.0,0
Lindenwood-Howard Beach,28247.0,5526.0,5972.0,45.0,6225.0,22022.0,19667.0,466.0,1170.0,719.0,3945.0,3191.0,2605.0,736.0,13127.0,0
Maspeth,29111.0,6193.0,3769.0,38.9,8874.0,20237.0,15685.0,401.0,3716.0,435.0,4518.0,3509.0,2279.0,532.0,13496.0,1
Middle Village,38033.0,7018.0,7384.0,43.5,6757.0,31276.0,26824.0,334.0,3693.0,425.0,5249.0,4416.0,4252.0,714.0,17488.0,1
Murray Hill,52659.0,8773.0,9190.0,43.4,7756.0,44903.0,12939.0,741.0,29772.0,1451.0,8498.0,5138.0,2970.0,1109.0,25398.0,0
North Corona,54677.0,14759.0,3437.0,30.2,48057.0,6620.0,547.0,1811.0,3855.0,407.0,6446.0,3656.0,1901.0,175.0,30149.0,3
Oakland Gardens,28669.0,5858.0,5168.0,43.9,2307.0,26362.0,11361.0,766.0,13318.0,917.0,3924.0,3213.0,2962.0,952.0,9706.0,0
Old Astoria,28110.0,4673.0,3151.0,34.2,8538.0,19572.0,10670.0,3332.0,4914.0,656.0,5375.0,3262.0,2176.0,626.0,10705.0,1
Ozone Park,23415.0,5404.0,2448.0,37.1,10181.0,13234.0,5389.0,1350.0,5496.0,999.0,2396.0,2370.0,1878.0,310.0,10892.0,0
park-cemetery-etc-Queens,366.0,85.0,101.0,40.8,33.0,333.0,251.0,51.0,20.0,11.0,57.0,34.0,38.0,7.0,173.0,0
