,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,GardenNorm
44,NTA2010,Starrett City,BK93,Brooklyn,12388,0.393041653,0.606958347,0.17864062,0.291168873,0.178237004,0.821762996,0.222715531,0.550209881,0.009444624,0.024701324,0,0,0.014691637,6408,0.166042447,0.196317104,0.142009988,0.095193508,0.152777778,0.159332085,0.039950062,0.034644195,0.003745318,0.009987516,10433,0.462954088,4830,0.103933747,9312,0.810996564,0.112006014,0.076997423,0,0,0
45,NTA2010,Stuyvesant Heights,BK35,Brooklyn,67371,0.461949503,0.538050497,0.225022636,0.111175432,0.179810304,0.820189696,0.0966588,0.668462692,0.002449125,0.03359012,0,0.002597557,0.016431402,25486,0.157145099,0.086361139,0.102252217,0.1047634,0.11947736,0.146040964,0.096013498,0.114180334,0.036019776,0.037746214,54071,0.623069668,33660,0.131550802,44592,0.729884284,0.176242375,0.093873341,20,1,0.038167939
46,NTA2010,Sunset Park East,BK34,Brooklyn,71850,0.505511482,0.494488518,0.261586639,0.080904662,0.318733473,0.681266527,0.12677801,0.014544189,0.000306193,0.528016701,0.00019485,0.002867084,0.008559499,19923,0.083872911,0.086884505,0.16307785,0.119811273,0.158811424,0.161019927,0.111278422,0.075591025,0.029764594,0.009888069,54699,0.645295161,35277,0.081015959,46569,0.850372565,0.100216882,0.049410552,0,0,0
47,NTA2010,Sunset Park West,BK32,Brooklyn,57377,0.530177597,0.469822403,0.225386479,0.088624362,0.636038831,0.363961169,0.169667288,0.031667741,0.002248288,0.147219269,0.000296286,0.00196943,0.010892866,16754,0.092037722,0.059269428,0.133221917,0.105467351,0.132207234,0.171720186,0.098304882,0.119911663,0.038557956,0.049301659,45626,0.647240608,29531,0.087704446,38812,0.762676492,0.143151603,0.094171906,0,0,0
48,NTA2010,West Brighton,BK23,Brooklyn,15754,0.44071347,0.55928653,0.091405357,0.352862765,0.027231179,0.972768821,0.947759299,0.011235242,0,0.009457915,0.000507808,0,0.003808557,8132,0.141662568,0.1055091,0.124938515,0.066281358,0.13194786,0.156542056,0.110427939,0.103664535,0.040088539,0.018937531,14457,0.5402919,7801,0.088706576,13594,0.490510519,0.286523466,0.222966014,0,0,0
49,NTA2010,Williamsburg,BK72,Brooklyn,33767,0.513400657,0.486599343,0.479314123,0.07572482,0.08138123,0.91861877,0.874611307,0.036663014,0.000592294,0.003376077,0.000325762,0,0.003050315,8315,0.159711365,0.172339146,0.197474444,0.13096813,0.092002405,0.103187011,0.062898376,0.039085989,0.01443175,0.027901383,18882,0.482681919,9114,0.044107966,14001,0.918577244,0.047568031,0.033854725,1,1,0.001908397
50,NTA2010,Windsor Terrace,BK40,Brooklyn,22031,0.463619445,0.536380555,0.215923018,0.117607008,0.130770278,0.869229722,0.674958014,0.047887068,0.000408515,0.117107712,0,0.005537651,0.023330761,9135,0.057909141,0.031198686,0.0591133,0.046305419,0.077941981,0.141871921,0.132019704,0.217405583,0.087794198,0.148440066,17522,0.736616825,12896,0.042261166,16061,0.352717764,0.332108835,0.315173401,1,1,0.001908397
51,NTA2010,Battery Park City-Lower Manhattan,MN25,Manhattan,45737,0.485689923,0.514310077,0.149310187,0.059798413,0.08658198,0.91341802,0.648096727,0.02405055,0.00089643,0.211797888,0.000131185,0.004985023,0.023460218,22074,0.061067319,0.018392679,0.034203135,0.022062155,0.039231675,0.085938208,0.095134547,0.20041678,0.112711788,0.330841714,39203,0.807081091,31635,0.038027501,33950,0.153814433,0.455699558,0.390486009,1,1,0.001908397
52,NTA2010,Central Harlem North-Polo Grounds,MN03,Manhattan,85872,0.464435439,0.535564561,0.220048444,0.095933482,0.259269611,0.740730389,0.09048351,0.598122787,0.004064189,0.020320943,0.000943264,0.002282467,0.024513229,34755,0.159228888,0.090749532,0.132441375,0.110861747,0.117047907,0.155545965,0.087095382,0.085599194,0.026816285,0.034613725,68603,0.641444252,43984,0.145075482,57680,0.689008322,0.183200416,0.127791262,16,1,0.030534351
53,NTA2010,Central Harlem South,MN11,Manhattan,50095,0.47158399,0.52841601,0.20722627,0.088771334,0.196426789,0.803573211,0.199101707,0.523425492,0.000938217,0.052320591,0,0.002994311,0.024792894,19505,0.142886439,0.0763394,0.073724686,0.073314535,0.107972315,0.149448859,0.091463727,0.124019482,0.072340426,0.088490131,40518,0.646478108,26165,0.074030193,35200,0.558238636,0.228806818,0.212954545,11,1,0.020992366
54,NTA2010,Chinatown,MN27,Manhattan,44898,0.522896343,0.477103657,0.121141254,0.1697403,0.147088957,0.852911043,0.177446657,0.054946768,0.000890908,0.586574012,0.000178182,0.007216357,0.025658158,18191,0.141058765,0.1104942,0.138310153,0.083172998,0.098070474,0.134517069,0.096201418,0.092903084,0.037216206,0.068055632,40184,0.590707744,23737,0.082403,35477,0.657609155,0.239507286,0.102883558,5,1,0.009541985
