ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Seagate-Coney Island,2769.0,5187.0,1376.0,9332.0,29677.0,4.0,0.093304579303838,0.1747818175691613,0.046365872561242714,0.314452269434242
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2855.0,4615.0,1309.0,8779.0,66293.0,0.0,0.043066387099693786,0.06961519315764862,0.01974567450560391,0.1324272547629463
SoHo-TriBeCa-Civic Center-Little Italy,5540.0,12238.0,1570.0,19348.0,42979.0,0.0,0.12890016054352124,0.28474371204541754,0.03652946787966216,0.45017334046860097
Soundview-Bruckner,1571.0,3840.0,688.0,6099.0,37866.0,1.0,0.04148840648602968,0.10141023609570592,0.01816933396714731,0.1610679765488829
Soundview-Castle Hill-Clason Point-Harding Park,2652.0,7003.0,1401.0,11056.0,56552.0,4.0,0.046894893195642946,0.12383293252228038,0.02477365964068468,0.195501485358608
South Jamaica,3312.0,3972.0,1122.0,8406.0,41606.0,4.0,0.07960390328318032,0.09546699995193,0.026967264336874488,0.2020381675719848
South Ozone Park,4345.0,6128.0,1937.0,12410.0,85411.0,1.0,0.050871667583800684,0.0717471988385571,0.02267857770076454,0.14529744412312232
Springfield Gardens North,2092.0,4258.0,434.0,6784.0,27577.0,0.0,0.07586031838125974,0.15440403234579542,0.015737752474888494,0.24600210320194366
Springfield Gardens South-Brookville,1186.0,1456.0,558.0,3200.0,21900.0,0.0,0.054155251141552514,0.06648401826484018,0.02547945205479452,0.1461187214611872
Spuyten Duyvil-Kingsbridge,1341.0,3034.0,665.0,5040.0,31508.0,1.0,0.04256061952519995,0.09629300495112353,0.021105750920401168,0.15995937539672464
St. Albans,2936.0,3391.0,786.0,7113.0,54626.0,3.0,0.05374729982059825,0.06207666678870867,0.014388752608647897,0.13021271921795483
Stapleton-Rosebank,1616.0,4044.0,1449.0,7109.0,26247.0,0.0,0.06156894121232903,0.15407475140016003,0.05520630929249057,0.2708500019049796
Starrett City,434.0,631.0,177.0,1242.0,12388.0,0.0,0.03503390377784953,0.05093639005489183,0.014288020665159832,0.1002583144979012
Steinway,1712.0,3257.0,1083.0,6052.0,48179.0,0.0,0.03553415388447249,0.06760206729072833,0.022478673280890014,0.12561489445609084
Stuyvesant Heights,6043.0,9416.0,2797.0,18256.0,67371.0,20.0,0.08969734752341511,0.1397633996823559,0.041516379451099136,0.2709771266568702
Stuyvesant Town-Cooper Village,173.0,206.0,57.0,436.0,21462.0,0.0,0.00806075854999534,0.009598359891901966,0.0026558568632932627,0.02031497530519057
Sunset Park East,2939.0,4552.0,1079.0,8570.0,71850.0,0.0,0.04090466249130132,0.06335421016005567,0.015017397355601949,0.11927627000695894
Sunset Park West,3301.0,6770.0,1477.0,11548.0,57377.0,0.0,0.057531763598654515,0.11799152970702546,0.02574202206459034,0.20126531537027031
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1002.0,3246.0,761.0,5009.0,32276.0,0.0,0.031044739125046475,0.10057008303383319,0.023577890692774817,0.15519271285165448
Turtle Bay-East Midtown,2823.0,4263.0,827.0,7913.0,49628.0,0.0,0.05688321109051342,0.08589908922382526,0.01666398001128395,0.15944628032562264
University Heights-Morris Heights,2739.0,5784.0,1603.0,10126.0,55575.0,4.0,0.049284750337381916,0.10407557354925775,0.02884390463337832,0.182204228520018
Upper East Side-Carnegie Hill,3875.0,5674.0,704.0,10253.0,58593.0,0.0,0.06613417985083542,0.09683750618674586,0.012015087126448552,0.17498677316402983
Upper West Side,5277.0,10839.0,2897.0,19013.0,134019.0,4.0,0.03937501399055358,0.0808765921249972,0.021616337981927934,0.14186794409747872
Van Cortlandt Village,2055.0,3951.0,1041.0,7047.0,51157.0,1.0,0.040170455656117446,0.0772328322614696,0.02034912133236898,0.13775240924995602
Van Nest-Morris Park-Westchester Square,1530.0,3445.0,865.0,5840.0,29509.0,0.0,0.05184858856620014,0.11674404418990816,0.029313090921413806,0.1979057236775221
Washington Heights North,2846.0,4529.0,1126.0,8501.0,73523.0,4.0,0.038708975422656854,0.061599771500074806,0.01531493546237232,0.11562368238510398
Washington Heights South,4001.0,7519.0,1572.0,13092.0,92476.0,6.0,0.04326527964012284,0.08130758250789394,0.016999005147281455,0.14157186729529825
West Brighton,1518.0,2672.0,514.0,4704.0,15754.0,0.0,0.09635648089374127,0.16960771867462232,0.03262663450552241,0.298590834073886
West Concourse,2984.0,7308.0,893.0,11185.0,37395.0,0.0,0.07979676427329857,0.1954271961492178,0.023880197887418103,0.2991041583099345
West Farms-Bronx River,1903.0,4257.0,812.0,6972.0,35752.0,0.0,0.05322779145222645,0.11907026180353547,0.022712016110986798,0.19501006936674872
West New Brighton-New Brighton-St. George,2561.0,6374.0,2333.0,11268.0,33175.0,3.0,0.0771966842501884,0.1921326299924642,0.07032403918613414,0.3396533534287867
West Village,6740.0,10236.0,1298.0,18274.0,66772.0,2.0,0.10094051398789912,0.1532977894926017,0.01943928592823339,0.2736775894087342
Westchester-Unionport,1183.0,2165.0,588.0,3936.0,28437.0,0.0,0.041600731441431935,0.07613320673770088,0.02067728663361114,0.13841122481274395
Westerleigh,458.0,1178.0,433.0,2069.0,24131.0,0.0,0.018979735609796527,0.048816874559694995,0.017943723840702832,0.08574033401019436
